"Nombre","Tipo","Label","Button","Checkbutton","Entry","Listbox","Radiobutton","Font","Frame","Scale"
"activebackground, activeforeground","color","No","Si","Si","No","No","Si","No","No","Si"
"anchor","constant","Si","Si","Si","No","No","Si","No","No","No"
"background (bg), foreground (fg)","color","Si","Si","Si","Si","Si","Si","No","Si","Si"
"bigincrement","value","No","No","No","No","No","No","No","No","Si"
"bitmap","bitmap","Si","Si","Si","No","No","Si","No","No","No"
"borderwidth (bd)","dimension","Si","Si","Si","Si","Si","Si","No","Si","Si"
"colormap","window","No","No","No","No","No","No","No","Si","No"
"command","callback","No","Si","Si","No","No","Si","No","No","Si"
"cursor","cursor","Si","Si","Si","Si","Si","Si","No","Si","Si"
"default","constant","No","Si","Si","No","No","Si","No","No","No"
"digits","value","No","No","No","No","No","No","No","No","Si"
"disabledforeground","color","No","Si","Si","No","No","Si","No","No","No"
"exportselection","flag","No","No","No","Si","Si","No","No","No","No"
"family","string","No","No","No","No","No","Si","No","No","No"
"font","font","Si","Si","Si","Si","Si","Si","No","No","Si"
"from (from_)","value","No","No","No","No","No","No","No","No","Si"
"highlightbackground, highlightcolor","color","Si","Si","Si","Si","No","Si","No","Si","Si"
"highlightthickness","distance","Si","Si","Si","Si","No","Si","No","Si","Si"
"image","image","Si","Si","Si","No","No","Si","No","No","No"
"indicatoron","bool","No","No","Si","No","No","Si","No","No","No"
"insertbackground","color","No","No","No","Si","No","No","No","No","No"
"insertborderwidth","color","No","No","No","Si","No","No","No","No","No"
"insertofftime, insertontime","int","No","No","No","Si","No","No","No","No","No"
"insertwidth","int","No","No","No","Si","No","No","No","No","No"
"integer","constant","No","No","No","No","No","Si","No","No","No"
"justify","constant","Si","Si","Si","Si","No","Si","No","No","No"
"label","string","No","No","No","No","No","No","No","No","Si"
"length","distance","No","No","No","No","No","No","No","No","Si"
"offvalue, onvalue","value","No","No","Si","No","No","No","No","No","No"
"orient","constant","No","No","No","No","No","No","No","No","Si"
"overstrike","flag","No","No","No","No","No","Si","No","No","No"
"padx, pady","distance","No","Si","Si","No","No","Si","No","No","No"
"relief","constant","Si","Si","Si","Si","Si","Si","No","Si","Si"
"repeatdelay","time","No","No","No","No","No","No","No","No","Si"
"repeatinterval","time","No","No","No","No","No","No","No","No","Si"
"resolution","value","No","No","No","No","No","No","No","No","Si"
"selectbackground","color","No","No","No","Si","Si","No","No","No","No"
"selectborderwidth","int","No","No","No","Si","Si","No","No","No","No"
"selectcolor","color","No","No","Si","No","No","Si","No","No","No"
"selectforeground","color","No","No","No","Si","Si","No","No","No","No"
"selectimage","image","No","No","Si","No","No","Si","No","No","No"
"selectmode","constant","No","No","No","No","Si","No","No","No","No"
"setgrid","bool","No","No","No","No","Si","No","No","No","No"
"show","character","No","No","No","Si","No","No","No","No","No"
"showvalue","flag","No","No","No","No","No","No","No","No","Si"
"size","integer","No","No","No","No","No","Si","No","No","No"
"slant","constant","No","No","No","No","No","Si","No","No","No"
"sliderlength","distance","No","No","No","No","No","No","No","No","Si"
"sliderrelief","constant","No","No","No","No","No","No","No","No","Si"
"state","constant","No","Si","Si","Si","No","Si","No","No","Si"
"takefocus","flag","No","Si","Si","Si","Si","Si","No","Si","Si"
"text","string","Si","Si","Si","No","No","Si","No","No","No"
"textvariable","variable","Si","Si","Si","Si","No","Si","No","No","No"
"tickinterval","time","No","No","No","No","No","No","No","No","Si"
"to","value","No","No","No","No","No","No","No","No","Si"
"troughcolor","color","No","No","No","No","No","No","No","No","Si"
"underline","int","Si","Si","Si","No","No","Si","Si","No","No"
"value","None","No","No","No","No","No","Si","No","No","No"
"variable","variable","No","No","Si","No","No","Si","No","No","Si"
"width, height","int","Si","Si","Si","Si","Si","Si","No","Si","Si"
"wraplength","distance","Si","Si","Si","No","No","Si","No","No","No"
"xscrollcommand","callback","No","No","No","Si","No","No","No","No","No"
"xscrollcommand, yscrollcommand","command","No","No","No","No","Si","No","No","No","No"
